5.1	10.70615
5.4	10.85973
5.5	11.53846
5.5	10.88889
5.9	11.9469
6	11.84211
6.6	12.20044
7.2	12.09503
8.1	11.75214
8.1	11.20507
8.6	10.46025
8.8	10.18711
9	9.25926
8.8	9.18367
8.6	9.53347
8.4	8.61723
8.4	7.90514
8.4	7.64706
8.3	7.37864
8.2	7.12909
7.9	6.69216
7.7	6.27376
7.6	6.06061
7.7	5.84906
7.4	6.21469
7.6	5.98131
7.8	5.55556
7.8	5.71956
7.6	5.49451
7.7	5.46448
7.8	5.06329
7.8	5.03597
7.5	5.19713
7.6	6.08229
7.4	6.42857
7.2	6.95187
7	6.73759
7.2	6.70194
6.9	6.66667
7	6.63176
6.8	6.42361
6.8	6.39033
6.8	6.71256
6.4	6.67808
6.4	6.81431
6.3	6.23946
6.3	6.37584
6.1	6.5
6	7.14286
5.9	7.43802
6.2	7.73026
5.9	7.85597
6	8.48287
5.8	8.92857
5.9	8.87097
6	8.98876
5.9	9.2504
5.9	9.84127
5.8	10.25237
5.8	10.48513
5.6	10.69767
5.7	11.07692
5.7	11.45038
6	11.83612
5.9	11.8797
6	12.07154
5.9	12.59259
6	13.25479
6.3	13.86861
6.3	14.16185
6.3	14.59227
6.9	14.58924
7.5	14.42577
7.6	14.26593
7.8	13.15068
7.7	12.89009
7.5	12.76882
7.5	12.63298
7.5	12.63158
7.2	12.35371
7.5	11.79487
7.4	11.39241
7.4	10.61174
7.2	10.13597
7.5	9.79192
7.5	9.69697
7.2	10.77482
7.4	10.81731
7.6	10.96544
7.9	10.27155
8.3	9.57944
8.5	8.91204
8.6	8.25688
8.9	7.61364
9	6.88488
9.3	6.62177
9.4	6.91193
9.6	7.18232
9.8	6.55738
9.8	5.96529
10.1	4.94092
10.4	5.03212
10.8	4.47761
10.8	3.82572
10.4	3.70763
10.4	3.48469
10.3	3.59029
10.2	4
10.1	3.44108
10.1	2.47423
9.4	2.35897
9.5	2.4565
9.2	2.76356
8.8	2.75229
8.5	3.16327
8.3	3.7871
8	4.29009
7.8	4.69388
7.8	4.89297
7.7	4.55466
7.4	4.33468
7.2	4.32596
7.5	4.30862
7.5	4.2957
7.3	4.28287
7.4	4.26587
7.2	4.1543
7.3	4.04339
7.3	3.52595
7.2	3.60624
7.2	3.79009
7.3	3.5818
7.2	3.57488
7.4	3.66442
7.4	3.45821
7.1	3.35249
7.1	3.24737
7.1	3.23501
7	3.51377
7	3.79147
6.7	3.97351
7.2	3.19849
7.2	2.15356
7.1	1.58879
7.2	1.6791
7.2	1.76744
7	1.67131
6.9	1.57553
7	1.75763
7	1.56682
6.9	1.2844
6.6	1.18721
6.6	1.36488
6.6	1.91431
6.6	2.84143
6.3	3.67985
6.3	3.66972
6.2	3.74771
6.1	3.92694
6	4.28832
5.9	4.27273
6	4.35572
5.8	4.52899
5.7	4.33213
5.7	4.12926
5.7	3.9356
5.7	3.83244
5.4	3.9929
5.6	3.9823
5.4	3.96476
5.4	4.13005
5.6	4.11199
5.4	4.18483
5.4	4.26087
5.3	4.2461
5.3	4.41176
5.4	4.48276
5.2	4.64716
5	4.8927
5.2	5.03413
5.2	5.2766
5.3	5.16949
5.2	5.06329
5.2	4.62185
5.3	4.43515
5.3	4.58716
5.4	4.65503
5.4	4.6396
5.4	5.19802
5.3	5.26316
5.2	5.23732
5.4	4.71162
5.4	4.3654
5.2	4.67365
5.5	4.81928
5.7	5.70281
5.9	6.16987
5.9	6.37959
6.2	6.19539
6.3	6.25495
6.4	5.64706
6.6	5.3125
6.8	4.82115
6.7	4.80993
6.9	5.03486
6.9	4.69592
6.8	4.36782
6.9	3.79939
6.9	3.39623
7	2.84858
7	3.06657
7.3	2.98063
7.3	2.67261
7.4	2.81899
7.4	3.18991
7.4	3.18283
7.6	3.0236
7.8	3.01471
7.7	3.15712
7.6	3.07467
7.6	2.9927
7.3	3.27988
7.4	3.12046
7.4	2.96671
7.3	3.2538
7.1	3.24675
7	3.01941
7.1	3.15638
7.1	3.22119
7	2.99786
6.9	2.84698
6.8	2.84091
6.7	2.764
6.8	2.75229
6.6	2.74455
6.5	2.81096
6.6	2.45098
6.6	2.51572
6.5	2.65178
6.4	2.36439
6.1	2.28849
6.1	2.4948
6.1	2.69896
6	2.90055
5.9	2.96552
5.8	2.60989
5.6	2.60274
5.5	2.5974
5.6	2.87081
5.4	2.86299
5.4	2.78722
5.8	3.125
5.6	3.11864
5.6	3.0426
5.7	2.83019
5.7	2.61745
5.6	2.54521
5.5	2.74431
5.6	2.60347
5.6	2.53165
5.6	2.7907
5.5	2.71703
5.5	2.84392
5.6	2.83267
5.6	2.82709
5.3	2.82152
5.5	2.88336
5.1	2.8123
5.2	3.00457
5.2	3.06189
5.4	3.25309
5.4	3.37882
5.3	3.03814
5.2	3.03226
5.2	2.76527
5.1	2.43434
4.9	2.23785
5	2.23357
4.9	2.16561
4.8	2.29008
4.9	2.2194
4.7	2.08597
4.6	1.89036
4.7	1.69705
4.6	1.63112
4.6	1.4402
4.7	1.37672
4.3	1.4384
4.4	1.68856
4.5	1.62297
4.5	1.74564
4.5	1.61692
4.6	1.4268
4.5	1.48607
4.4	1.48423
4.4	1.60692
4.3	1.66667
4.4	1.66667
4.2	1.7284
4.3	2.28113
4.2	2.09102
4.3	1.9656
4.3	2.14461
4.2	2.26438
4.2	2.62997
4.1	2.56254
4.1	2.62035
4	2.6764
4	2.79296
4.1	3.21797
4	3.76214
3.8	3.01386
4	3.13253
4	3.73494
4	3.59928
4.1	3.35129
3.9	3.4565
3.9	3.45033
3.9	3.44418
3.9	3.43602
4.2	3.7212
4.2	3.52941
4.3	2.98246
4.4	3.21826
4.3	3.56308
4.5	3.19396
4.6	2.72148
4.9	2.72148
5	2.59217
5.3	2.12766
5.5	1.89437
5.7	1.60367
5.7	1.1959
5.7	1.13636
5.7	1.36286
5.9	1.64399
5.8	1.24083
5.8	1.06922
5.8	1.46561
5.7	1.74746
5.7	1.516
5.7	2.02703
5.9	2.25352
6	2.48027
5.8	2.75746
5.9	3.14607
5.9	3.02521
6	2.17513
6.1	1.89415
6.3	1.94878
6.2	2.05556
6.1	2.21607
6.1	2.37832
6	2.04194
5.8	1.92837
5.7	2.0352
5.7	2.02629
5.6	1.68845
5.8	1.74008
5.6	2.29258
5.6	2.89776
5.6	3.16767
5.5	2.93958
5.4	2.54743
5.4	2.53917
5.5	3.19091
5.4	3.62162
5.4	3.34232
5.3	2.84487
5.4	3.05303
5.2	3.20684
5.2	3.36179
5.1	2.86929
5	2.54103
5	3.06716
4.9	3.64693
5	4.74183
5	4.3501
5	3.33855
4.9	3.33855
4.7	4.01879
4.8	3.63825
4.7	3.41792
4.7	3.61384
4.6	3.97727
4.6	4.18172
4.7	4.10467
4.7	3.92657
4.5	2.01207
4.4	1.40633
4.5	1.9687
4.4	2.52398
4.6	2.07577
4.5	2.42026
4.4	2.7982
4.5	2.59292
4.4	2.70989
4.6	2.69277
4.7	2.31789
4.6	1.89745
4.7	2.83383
4.7	3.6107
4.7	4.37327
5	4.10881
5	4.2947
4.9	4.14296
5.1	3.9749
5	3.90376
5.4	4.08841
5.6	4.93597
5.8	5.49751
6.1	5.30802
6.1	4.95332
6.5	3.73106
6.8	1.09992
7.3	-0.02223
7.8	-0.11359
8.3	0.00846
8.7	-0.44648
9	-0.57632
9.4	-1.01576
9.5	-1.22917
9.5	-1.95876
9.6	-1.48384
